Library,month,issues
http://datadock.io/kal/data/id/resource/library/Denton Burn,2015-12,521
http://datadock.io/kal/data/id/resource/library/Denton Burn,2016-01,619
http://datadock.io/kal/data/id/resource/library/Denton Burn,2016-02,796
http://datadock.io/kal/data/id/resource/library/Denton Burn,2016-03,479
http://datadock.io/kal/data/id/resource/library/Denton Burn,2016-04,566
http://datadock.io/kal/data/id/resource/library/Denton Burn,2016-05,644
http://datadock.io/kal/data/id/resource/library/Denton Burn,2016-06,814
http://datadock.io/kal/data/id/resource/library/Denton Burn,2016-07,634
http://datadock.io/kal/data/id/resource/library/Denton Burn,2016-08,878
http://datadock.io/kal/data/id/resource/library/Denton Burn,2016-09,753
http://datadock.io/kal/data/id/resource/library/Denton Burn,2016-10,837
http://datadock.io/kal/data/id/resource/library/Denton Burn,2016-11,722
http://datadock.io/kal/data/id/resource/library/Dinnington,2008-04,952
http://datadock.io/kal/data/id/resource/library/Dinnington,2008-05,1005
http://datadock.io/kal/data/id/resource/library/Dinnington,2008-06,1038
http://datadock.io/kal/data/id/resource/library/Dinnington,2008-07,933
http://datadock.io/kal/data/id/resource/library/Dinnington,2008-08,1118
http://datadock.io/kal/data/id/resource/library/Dinnington,2008-09,948
http://datadock.io/kal/data/id/resource/library/Dinnington,2008-10,1146
http://datadock.io/kal/data/id/resource/library/Dinnington,2008-11,991
