Library,month,enquiries
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2015-08,1302
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2015-09,1566
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2015-10,1579
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2015-11,1402
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2015-12,1187
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2016-01,1287
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2016-02,1422
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2016-03,1451
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2016-04,1520
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2016-05,1348
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2016-06,884
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2016-07,1092
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2016-08,1179
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2016-09,1624
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2016-10,1215
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2016-11,1261
http://datadock.io/kal/data/id/resource/library/Denton Burn,2008-04,3324
http://datadock.io/kal/data/id/resource/library/Denton Burn,2008-05,1785
http://datadock.io/kal/data/id/resource/library/Denton Burn,2008-06,1785
http://datadock.io/kal/data/id/resource/library/Denton Burn,2008-07,1785
http://datadock.io/kal/data/id/resource/library/Denton Burn,2008-08,3133
http://datadock.io/kal/data/id/resource/library/Denton Burn,2008-09,3133
http://datadock.io/kal/data/id/resource/library/Denton Burn,2008-10,3133
http://datadock.io/kal/data/id/resource/library/Denton Burn,2008-11,1140
http://datadock.io/kal/data/id/resource/library/Denton Burn,2008-12,1140
http://datadock.io/kal/data/id/resource/library/Denton Burn,2009-01,1140
http://datadock.io/kal/data/id/resource/library/Denton Burn,2009-02,780
http://datadock.io/kal/data/id/resource/library/Denton Burn,2009-03,780
http://datadock.io/kal/data/id/resource/library/Denton Burn,2009-04,780
http://datadock.io/kal/data/id/resource/library/Denton Burn,2009-05,1326
http://datadock.io/kal/data/id/resource/library/Denton Burn,2009-06,1326
http://datadock.io/kal/data/id/resource/library/Denton Burn,2009-07,1326
http://datadock.io/kal/data/id/resource/library/Denton Burn,2009-08,2141
http://datadock.io/kal/data/id/resource/library/Denton Burn,2009-09,2141
http://datadock.io/kal/data/id/resource/library/Denton Burn,2009-10,2141
http://datadock.io/kal/data/id/resource/library/Denton Burn,2009-11,1911
http://datadock.io/kal/data/id/resource/library/Denton Burn,2009-12,1911
http://datadock.io/kal/data/id/resource/library/Denton Burn,2010-01,1911
http://datadock.io/kal/data/id/resource/library/Denton Burn,2010-02,1430
http://datadock.io/kal/data/id/resource/library/Denton Burn,2010-03,1430
http://datadock.io/kal/data/id/resource/library/Denton Burn,2010-04,130
http://datadock.io/kal/data/id/resource/library/Denton Burn,2010-05,331
http://datadock.io/kal/data/id/resource/library/Denton Burn,2010-06,666
http://datadock.io/kal/data/id/resource/library/Denton Burn,2010-07,942
http://datadock.io/kal/data/id/resource/library/Denton Burn,2010-08,1185
http://datadock.io/kal/data/id/resource/library/Denton Burn,2010-09,642
http://datadock.io/kal/data/id/resource/library/Denton Burn,2010-10,183
http://datadock.io/kal/data/id/resource/library/Denton Burn,2010-11,2587
http://datadock.io/kal/data/id/resource/library/Denton Burn,2010-12,2424
http://datadock.io/kal/data/id/resource/library/Denton Burn,2011-01,3283
http://datadock.io/kal/data/id/resource/library/Denton Burn,2011-02,3571
http://datadock.io/kal/data/id/resource/library/Denton Burn,2011-03,2739
http://datadock.io/kal/data/id/resource/library/Denton Burn,2011-04,3183
http://datadock.io/kal/data/id/resource/library/Denton Burn,2011-05,2715
http://datadock.io/kal/data/id/resource/library/Denton Burn,2011-06,2156
http://datadock.io/kal/data/id/resource/library/Denton Burn,2011-07,2409
http://datadock.io/kal/data/id/resource/library/Denton Burn,2011-08,2388
http://datadock.io/kal/data/id/resource/library/Denton Burn,2011-09,2023
http://datadock.io/kal/data/id/resource/library/Denton Burn,2011-10,2907
http://datadock.io/kal/data/id/resource/library/Denton Burn,2011-11,2070
http://datadock.io/kal/data/id/resource/library/Denton Burn,2011-12,1627
http://datadock.io/kal/data/id/resource/library/Denton Burn,2012-01,2116
http://datadock.io/kal/data/id/resource/library/Denton Burn,2012-02,1804
http://datadock.io/kal/data/id/resource/library/Denton Burn,2012-03,2372
http://datadock.io/kal/data/id/resource/library/Denton Burn,2012-04,1896
http://datadock.io/kal/data/id/resource/library/Denton Burn,2012-05,2193
http://datadock.io/kal/data/id/resource/library/Denton Burn,2012-06,1664
http://datadock.io/kal/data/id/resource/library/Denton Burn,2012-07,1377
http://datadock.io/kal/data/id/resource/library/Denton Burn,2012-08,1705
http://datadock.io/kal/data/id/resource/library/Denton Burn,2012-09,1230
http://datadock.io/kal/data/id/resource/library/Denton Burn,2012-10,1582
http://datadock.io/kal/data/id/resource/library/Denton Burn,2012-11,1537
http://datadock.io/kal/data/id/resource/library/Denton Burn,2012-12,449
http://datadock.io/kal/data/id/resource/library/Denton Burn,2013-01,1571
http://datadock.io/kal/data/id/resource/library/Denton Burn,2013-02,1967
http://datadock.io/kal/data/id/resource/library/Denton Burn,2013-03,2239
http://datadock.io/kal/data/id/resource/library/Denton Burn,2013-04,1950
http://datadock.io/kal/data/id/resource/library/Denton Burn,2013-05,1416
http://datadock.io/kal/data/id/resource/library/Denton Burn,2013-06,1596
http://datadock.io/kal/data/id/resource/library/Denton Burn,2013-07,372
http://datadock.io/kal/data/id/resource/library/Denton Burn,2013-08,374
http://datadock.io/kal/data/id/resource/library/Denton Burn,2013-09,476
http://datadock.io/kal/data/id/resource/library/Denton Burn,2013-10,469
http://datadock.io/kal/data/id/resource/library/Denton Burn,2013-11,386
http://datadock.io/kal/data/id/resource/library/Denton Burn,2013-12,231
http://datadock.io/kal/data/id/resource/library/Denton Burn,2014-01,359
http://datadock.io/kal/data/id/resource/library/Denton Burn,2014-02,378
http://datadock.io/kal/data/id/resource/library/Denton Burn,2014-03,357
http://datadock.io/kal/data/id/resource/library/Denton Burn,2014-04,308
http://datadock.io/kal/data/id/resource/library/Denton Burn,2014-05,278
http://datadock.io/kal/data/id/resource/library/Denton Burn,2014-06,373
http://datadock.io/kal/data/id/resource/library/Denton Burn,2014-07,319
http://datadock.io/kal/data/id/resource/library/Denton Burn,2014-08,294
http://datadock.io/kal/data/id/resource/library/Denton Burn,2014-09,404
http://datadock.io/kal/data/id/resource/library/Denton Burn,2014-10,38
http://datadock.io/kal/data/id/resource/library/Denton Burn,2015-04,95
http://datadock.io/kal/data/id/resource/library/Denton Burn,2015-05,398
http://datadock.io/kal/data/id/resource/library/Denton Burn,2015-06,564
http://datadock.io/kal/data/id/resource/library/Denton Burn,2015-07,480
http://datadock.io/kal/data/id/resource/library/Denton Burn,2015-08,445
http://datadock.io/kal/data/id/resource/library/Denton Burn,2015-09,396
http://datadock.io/kal/data/id/resource/library/Denton Burn,2015-10,538
http://datadock.io/kal/data/id/resource/library/Denton Burn,2015-11,492
http://datadock.io/kal/data/id/resource/library/Denton Burn,2015-12,259
http://datadock.io/kal/data/id/resource/library/Denton Burn,2016-01,412
http://datadock.io/kal/data/id/resource/library/Denton Burn,2016-02,440
http://datadock.io/kal/data/id/resource/library/Denton Burn,2016-03,423
http://datadock.io/kal/data/id/resource/library/Denton Burn,2016-04,443
http://datadock.io/kal/data/id/resource/library/Denton Burn,2016-05,435
http://datadock.io/kal/data/id/resource/library/Denton Burn,2016-06,512
http://datadock.io/kal/data/id/resource/library/Denton Burn,2016-07,514
http://datadock.io/kal/data/id/resource/library/Denton Burn,2016-08,600
http://datadock.io/kal/data/id/resource/library/Denton Burn,2016-09,603
http://datadock.io/kal/data/id/resource/library/Denton Burn,2016-10,601
http://datadock.io/kal/data/id/resource/library/Denton Burn,2016-11,446
http://datadock.io/kal/data/id/resource/library/Dinnington,2008-04,160
http://datadock.io/kal/data/id/resource/library/Dinnington,2008-05,91
http://datadock.io/kal/data/id/resource/library/Dinnington,2008-06,91
http://datadock.io/kal/data/id/resource/library/Dinnington,2008-07,91
http://datadock.io/kal/data/id/resource/library/Dinnington,2008-08,191
http://datadock.io/kal/data/id/resource/library/Dinnington,2008-09,191
http://datadock.io/kal/data/id/resource/library/Dinnington,2008-10,191
http://datadock.io/kal/data/id/resource/library/Dinnington,2008-11,139
http://datadock.io/kal/data/id/resource/library/Dinnington,2008-12,139
http://datadock.io/kal/data/id/resource/library/Dinnington,2009-01,139
http://datadock.io/kal/data/id/resource/library/Dinnington,2009-02,152
http://datadock.io/kal/data/id/resource/library/Dinnington,2009-03,152
http://datadock.io/kal/data/id/resource/library/Dinnington,2009-04,152
http://datadock.io/kal/data/id/resource/library/Dinnington,2009-05,147
